"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta","relative_se_delta"
7,"egger",-0.504002407090554,0.206089357108621,0.0166584468099261,-0.504002407090555,0.206089357108621,0.0166584468099259,1.22124532708767e-15,1.11022302462516e-16,2.08166817117217e-16,5.38709538523138e-16
7,"weighted_median",-0.189133345509298,0.142080631044917,0.183133376870565,-0.189133345509298,0.141890932910761,0.18254861397643,0,0.000189698134156091,0.000584762894134866,0.00133692921925742
7,"simple_mode",0.200870721918821,0.523058072623263,0.701961452932774,0.200870721918821,0.548121439827199,0.714969027643093,0,0.0250633672039361,0.0130075747103191,0.0457259384194816
7,"weighted_mode",-0.173281764339653,0.516464007157552,0.738103588965924,-0.173281764339653,0.541468080598865,0.749775593941826,0,0.0250040734413126,0.0116720049759018,0.0461782962601564
8,"ivw",-0.225831828589107,0.150620917023004,0.133785686491253,-0.225831828589107,0.150620917023004,0.133785686491253,2.77555756156289e-17,5.55111512312578e-17,1.94289029309402e-16,3.68548753575704e-16
8,"egger",-0.47668253994634,0.210934970886357,0.0265493935345069,-0.47668253994634,0.210934970886357,0.0265493935345067,6.66133814775094e-16,0,2.0122792321331e-16,0
8,"weighted_median",-0.0199548979304139,0.11442049206971,0.861551360789562,-0.0199548979304139,0.112206523329166,0.858848003892687,1.73472347597681e-17,0.00221396874054411,0.00270335689687529,0.0197311945407065
8,"simple_mode",-0.311344561979742,0.531597787886988,0.559720958149017,-0.311344561979742,0.534623402968236,0.561940186899475,0,0.00302561508124755,0.00221922875045832,0.00565933901218932
8,"weighted_mode",-0.165940029675022,0.475525910230707,0.728024032694357,-0.165940029675022,0.518890383694221,0.749944984698693,0,0.0433644734635142,0.0219209520043362,0.0835715496494315
9,"ivw",0.1788304949942,0.202138118369722,0.376321387021772,0.1788304949942,0.202138118369722,0.376321387021773,0,5.55111512312578e-17,5.55111512312578e-17,2.74619906818984e-16
9,"egger",0.476939269364924,0.294597985249465,0.109394068985024,0.476939269364924,0.294597985249465,0.109394068985024,3.33066907387547e-16,5.55111512312578e-17,1.66533453693773e-16,1.88430179467287e-16
9,"weighted_median",0.310424375156836,0.13486862260745,0.0213532400070728,0.310424375156836,0.134041519538913,0.0205646990188725,0,0.000827103068536589,0.000788540988200255,0.00617049904672616
9,"simple_mode",0.25931160936484,0.806011394082361,0.748492075524995,0.25931160936484,0.867865767643906,0.765863749735413,0,0.0618543735615451,0.0173716742104184,0.0712718209055165
9,"weighted_mode",0.25931160936484,0.790667282596444,0.74378397337797,0.25931160936484,0.786157904957191,0.742367300206976,0,0.00450937763925252,0.0014166731709947,0.00573596934002473
10,"ivw",0.425105814200431,0.171171102578089,0.0130093253564184,0.425105814200431,0.171171102578089,0.0130093253564184,1.66533453693773e-16,0,3.29597460435593e-17,0
10,"egger",0.253963050147784,0.266080992709892,0.342727211300408,0.253963050147785,0.266080992709892,0.342727211300406,9.99200722162641e-16,5.55111512312578e-17,1.99840144432528e-15,2.08625015510904e-16
10,"weighted_median",0.238874160286797,0.138043014058182,0.0835529766241001,0.238874160286797,0.148550060872946,0.107826830732628,0,0.0105070468147644,0.0242738541085279,0.0707306799675501
10,"simple_mode",0.447632084849757,1.13514662486067,0.694367427557819,0.447632084849757,1.09187310677326,0.682912335778512,0,0.0432735180874162,0.0114550917793071,0.0396323692002084
10,"weighted_mode",0.173847675520491,1.11353500570809,0.876325048846217,0.173847675520491,1.04121289053642,0.86781252500401,0,0.0723221151716751,0.00851252384220758,0.0694594888605498
11,"ivw",0.40707033772227,0.14333340297172,0.00451101069812956,0.40707033772227,0.14333340297172,0.00451101069812953,2.22044604925031e-16,0,2.60208521396521e-17,0
11,"egger",0.128575334684142,0.224416112730212,0.568297134502181,0.128575334684142,0.224416112730212,0.568297134502181,8.32667268468867e-17,2.77555756156289e-17,1.11022302462516e-16,1.23679067772625e-16
11,"weighted_median",0.112629364557213,0.125929330673679,0.371115679856071,0.112629364557213,0.124780776329848,0.366728713430942,0,0.00114855434383118,0.0043869664251297,0.00920457764099073
11,"simple_mode",0.114148240753658,0.943494200749543,0.904002875520186,0.114148240753658,0.887695436700147,0.898001284053301,0,0.0557987640493969,0.00600159146688484,0.062858004831949
11,"weighted_mode",0.114148240753658,0.911302086226316,0.900629346595123,0.114148240753658,0.937005948278945,0.903341458537685,0,0.0257038620526289,0.00271211194256149,0.0274319091568636
12,"ivw",-0.421965597761434,0.142748917478825,0.00311658522993807,-0.421965597761434,0.142748917478825,0.00311658522993804,2.77555756156289e-16,2.77555756156289e-17,2.64545330086463e-17,1.94436329926958e-16
12,"egger",-0.373476200915811,0.215171142131602,0.0864641268841753,-0.373476200915811,0.215171142131603,0.0864641268841754,3.88578058618805e-16,2.4980018054066e-16,6.93889390390723e-17,1.16093718732913e-15
12,"weighted_median",-0.149974427639405,0.107148020180156,0.161605008544303,-0.149974427639405,0.105567603148207,0.15541905235434,2.77555756156289e-17,0.00158041703194843,0.00618595618996343,0.0149706632036504
12,"simple_mode",-0.245066242303235,0.616048304789792,0.691821429692634,-0.245066242303235,0.681379439248724,0.720035971550797,0,0.0653311344589316,0.0282145418581625,0.0958806953889957
12,"weighted_mode",-0.0478924409038466,0.601047864186617,0.936687047917897,-0.0478924409038466,0.666898377740237,0.942927193307656,0,0.0658505135536206,0.00624014538975926,0.0987414510989708
13,"ivw",-0.253348983931429,0.185767810594477,0.172632479625545,-0.253348983931429,0.185767810594477,0.172632479625545,5.55111512312578e-17,5.55111512312578e-17,2.22044604925031e-16,2.98820075736568e-16
13,"egger",-0.0672478844603745,0.269740656856488,0.803763305781884,-0.0672478844603748,0.269740656856488,0.803763305781884,2.91433543964104e-16,1.11022302462516e-16,6.66133814775094e-16,4.11589056526928e-16
13,"weighted_median",-0.156784215000442,0.140417064380538,0.264182083300728,-0.156784215000442,0.139327419668519,0.260464758387265,0,0.00108964471201919,0.00371732491346322,0.00782074852610942
13,"simple_mode",-0.433288711443688,0.939125871845398,0.645766551034156,-0.433288711443699,0.947009160404378,0.648512303338366,1.13242748511766e-14,0.00788328855898035,0.00274575230420981,0.0083244058120981
13,"weighted_mode",-0.233449159159471,0.90303455913957,0.796664235420774,-0.233449159159482,0.920130182031462,0.80036004126291,1.13520304267922e-14,0.0170956228918918,0.00369580584213569,0.0185795697453899
14,"ivw",0.0451700012949854,0.164724258537592,0.783918754217345,0.0451700012949854,0.164724258537592,0.783918754217345,6.93889390390723e-18,2.77555756156289e-17,0,1.68497195628868e-16
14,"egger",-0.285775452366928,0.237890650430239,0.233183515746889,-0.285775452366929,0.23789065043024,0.233183515746888,7.7715611723761e-16,2.4980018054066e-16,8.04911692853238e-16,1.05006304404516e-15
14,"weighted_median",-0.130640981730184,0.129280025877719,0.312242777707765,-0.130640981730184,0.12672158403702,0.302574020486263,0,0.00255844184069878,0.00966875722150229,0.020189471747381
14,"simple_mode",0.337581082318094,1.18683549608924,0.77680066558979,0.337581082318094,1.15775336864203,0.771350984222902,0,0.0290821274472071,0.00544968136688717,0.0251194496469645
