"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta"
2383,"weighted_mode",-0.918935540299384,26.7767016964046,0.972640354894461,-0.918935540299384,28.5005077672229,0.974294564472022,0,1.72380607081831,0.00165420957756046
2384,"egger",0.100684792547675,0.0849257331284063,0.236502332314061,0.100684792547675,0.0849257331284063,0.23650233231406,2.22044604925031e-16,0,1.02695629777827e-15
2384,"ivw",-0.000160639580397604,0.058865586138137,0.997822638142605,-0.000160639580397611,0.0588655861381369,0.997822638142605,6.93889390390723e-18,3.46944695195361e-17,0
2384,"simple_mode",0.301021430630365,20.695020710537,0.988401972208353,0.301021430630365,22.6872662913547,0.989420371454711,0,1.99224558081772,0.00101839924635827
2384,"weighted_median",0.133276029202952,0.048376734242611,0.00586990834529775,0.133276029202951,0.0427212587021192,0.00181056628256846,2.77555756156289e-17,0.00565547554049172,0.00405934206272929
2384,"weighted_mode",0.301021430630365,20.695020710537,0.988401972208353,0.301021430630365,19.8950658210627,0.987935665482345,0,0.799954889474321,0.000466306726008336
2385,"egger",-0.121229454837349,0.0707201659382038,0.0872680784257438,-0.12122945483735,0.0707201659382038,0.0872680784257436,1.80411241501588e-16,6.93889390390723e-17,1.94289029309402e-16
2385,"ivw",-0.0715951496792784,0.0504023642835089,0.155470300239402,-0.0715951496792786,0.0504023642835089,0.155470300239401,1.66533453693773e-16,6.93889390390723e-17,4.16333634234434e-16
2385,"simple_mode",-0.0745179395412603,15.0255122575557,0.996045444149732,-0.0745179395412603,23.6244155567788,0.997484832051449,0,8.59890329922311,0.00143938790171727
2385,"weighted_median",-0.124002411027085,0.0424332394096141,0.0034746311961613,-0.124002411027085,0.0484023742542544,0.0104099006249582,0,0.00596913484464031,0.00693526942879692
2385,"weighted_mode",-0.0745179395412603,15.0601566507623,0.99605454113782,-0.0745179395412603,20.9372945096853,0.997162033241573,0,5.877137858923,0.00110749210375283
2386,"egger",0.016757188099529,0.0806775241076529,0.835564942000558,0.016757188099529,0.080677524107653,0.835564942000558,1.04083408558608e-17,1.38777878078145e-17,0
2386,"ivw",-0.0468273692982737,0.0552115589171848,0.396357609758745,-0.0468273692982737,0.0552115589171848,0.396357609758745,2.08166817117217e-17,3.46944695195361e-17,1.11022302462516e-16
2386,"simple_mode",-0.965751038031407,44.077302348468,0.982530386763304,-0.965751038031407,44.2938309475872,0.9826157726614,0,0.216528599119215,8.53858980961464e-05
2386,"weighted_median",0.0291909261296449,0.0452901110614854,0.519230510074249,0.0291909261296449,0.0426023387600109,0.493220632397035,0,0.00268777230147456,0.0260098776772141
2386,"weighted_mode",0.712863178250314,44.4404440580953,0.98720980784815,0.712863178250314,38.7350229354702,0.985326093877705,0,5.70542112262517,0.00188371397044462
2387,"egger",0.105792055595734,0.0793072610882386,0.182982492401312,0.105792055595734,0.0793072610882386,0.182982492401312,8.32667268468867e-17,2.77555756156289e-17,1.11022302462516e-16
2387,"ivw",0.0190539958255746,0.0525653376440041,0.716991771205493,0.0190539958255746,0.0525653376440041,0.716991771205493,2.42861286636753e-17,2.77555756156289e-17,2.22044604925031e-16
2387,"simple_mode",0.0429077636280416,27.9878807891997,0.998777542861427,0.0429077636280416,29.6487048365496,0.998846020886375,0,1.66082404734994,6.84780249480266e-05
2387,"weighted_median",-0.0733986061336422,0.0449073042477843,0.10216503830087,-0.0733986061336421,0.0433373950615926,0.0903308150010231,6.93889390390723e-17,0.00156990918619169,0.0118342232998467
2387,"weighted_mode",0.0429077636280416,27.9878807891997,0.998777542861427,0.0429077636280416,27.2824647423474,0.99874593500684,0,0.705416046852221,3.16078545870013e-05
2388,"egger",0.0331937083736537,0.0747363527544564,0.657179808519781,0.0331937083736536,0.0747363527544565,0.657179808519782,6.93889390390723e-17,8.32667268468867e-17,9.99200722162641e-16
2388,"ivw",-0.0536221504949965,0.0519052768983344,0.30156784103592,-0.0536221504949966,0.0519052768983344,0.301567841035919,1.2490009027033e-16,2.08166817117217e-17,9.43689570931383e-16
2388,"simple_mode",0.113913799307278,8.1698352978016,0.988882250722289,0.113913799307278,10.2302576187104,0.991121313592798,0,2.06042232090879,0.00223906287050968
2388,"weighted_median",0.0695837211808864,0.0401480012470914,0.0830636435735839,0.0695837211808863,0.0410732629846528,0.0902393146526545,6.93889390390723e-17,0.000925261737561342,0.00717567107907058
2388,"weighted_mode",0.113913799307278,8.1698352978016,0.988882250722289,0.113913799307278,9.79068763463006,0.99072270713797,0,1.62085233682846,0.00184045641568131
2389,"egger",0.171696024003549,0.0767479409349474,0.025830052962759,0.171696024003549,0.0767479409349474,0.0258300529627587,5.27355936696949e-16,4.16333634234434e-17,3.36536354339501e-16
2389,"ivw",0.034234167497946,0.0521758026503669,0.511739766860306,0.034234167497946,0.0521758026503669,0.511739766860305,3.46944695195361e-17,6.93889390390723e-18,3.33066907387547e-16
2389,"simple_mode",0.569969084915709,34.8798597689111,0.986970578269585,0.569969084915709,40.5042513000812,0.988779705135968,0,5.62439153117008,0.00180912686638335
2389,"weighted_median",-0.040887611453058,0.0448589439882269,0.362047435919737,-0.040887611453058,0.0459785865027792,0.373855257843467,2.08166817117217e-17,0.00111964251455231,0.0118078219237294
2389,"weighted_mode",0.569969084915709,35.6171486975569,0.9872402690787,0.569969084915709,39.5230336151487,0.988501163867781,0,3.90588491759181,0.00126089478908076
239,"egger",0.118742866943769,0.085772865371315,0.167015572795665,0.118742866943769,0.085772865371315,0.167015572795666,1.80411241501588e-16,2.77555756156289e-17,4.9960036108132e-16
239,"ivw",0.0463956285020578,0.0589298010955647,0.431104322162816,0.0463956285020578,0.0589298010955647,0.431104322162816,4.16333634234434e-17,6.93889390390723e-18,4.9960036108132e-16
239,"simple_mode",0.489076956818966,26.2860688328361,0.985164766434214,0.489076956818966,30.8022108809697,0.987339671777035,0,4.51614204813364,0.00217490534282083
239,"weighted_median",0.0148155135332746,0.0518463772964888,0.775063530869697,0.0148155135332746,0.0520903071519924,0.776088704865118,0,0.000243929855503595,0.00102517399542157
